date,action,cash_in,shares_bought,price,shares,cash,total_value
2013-10-31,buy,1000.0,37.086106956149116,26.964275360107422,16619.948487018704,0.0,448144.8674747731
2013-11-30,buy,1000.0,36.25998875589567,27.5786075592041,16656.2084757746,0.0,459355.03697767685
2013-12-31,buy,1000.0,35.276909217173134,28.34715461730957,16691.485384991774,0.0,473156.1170009248
2014-01-31,buy,1000.0,38.53223442539649,25.95229721069336,16730.017619417173,0.0,434182.38959925104
2014-02-28,buy,1000.0,38.14892771263966,26.213056564331055,16768.16654712981,0.0,439544.8981800375
2014-03-31,buy,1000.0,37.39868135066328,26.738910675048828,16805.565228480475,0.0,449362.50748804596
2014-04-30,buy,1000.0,35.44577068461527,28.21211051940918,16841.01099916509,0.0,475120.46356703114
2014-05-31,buy,1000.0,35.341809225225504,28.29509925842285,16876.352808390315,0.0,477518.0778335672
2014-06-30,buy,1000.0,33.87725787593196,29.518327713012695,16910.230066266246,0.0,499161.7127984874
2014-07-31,buy,1000.0,36.52432859495432,27.379011154174805,16946.7543948612,0.0,463985.3776039657
2014-08-31,buy,1000.0,34.39695824994138,29.072338104248047,16981.15135311114,0.0,493681.7735370563
2014-09-30,buy,1000.0,33.39572695619805,29.943950653076172,17014.54708006734,0.0,509482.75814997766
2014-10-31,buy,1000.0,34.01771297373004,29.39645004272461,17048.56479304107,0.0,501167.28323878546
2014-11-30,buy,1000.0,31.561042608563323,31.68463134765625,17080.125835649633,0.0,541177.4904741377
2014-12-31,buy,1000.0,33.51212414969748,29.839946746826172,17113.63795979933,0.0,510670.0453648749
2015-01-31,buy,1000.0,34.36681286825706,29.09783935546875,17148.004772667588,0.0,498969.8881418929
2015-02-28,buy,1000.0,32.67625528648533,30.603261947631836,17180.681027954073,0.0,525784.881937187
2015-03-31,buy,1000.0,34.6051346931577,28.897445678710938,17215.28616264723,0.0,497477.7967285624
2015-04-30,buy,1000.0,34.59659891085857,28.90457534790039,17249.88276155809,0.0,498600.5360239038
2015-05-31,buy,1000.0,34.258739053517125,29.189632415771484,17284.141500611604,0.0,504517.7370250337
2015-06-30,buy,1000.0,35.47683603256906,28.187406539916992,17319.618336644173,0.0,488195.1231711902
2015-07-31,buy,1000.0,33.87915584884704,29.516674041748047,17353.49749249302,0.0,512217.5289702086
2015-08-31,buy,1000.0,35.395625208527065,28.252079010009766,17388.893117701547,0.0,491272.3822579192
2015-09-30,buy,1000.0,34.39187695520951,29.07663345336914,17423.28499465676,0.0,506610.47134322126
2015-10-31,buy,1000.0,32.5809365527822,30.692794799804688,17455.86593120954,0.0,535769.311079516
2015-11-30,buy,1000.0,32.12813013618337,31.1253719329834,17487.994061345726,0.0,544320.3195211906
2015-12-31,buy,1000.0,31.87385858212494,31.373672485351562,17519.867919927852,0.0,549662.598106434
2016-01-31,buy,1000.0,31.903557166787316,31.344467163085938,17551.77147709464,0.0,550150.9247177814
2016-02-29,buy,1000.0,31.74822518030383,31.49782371520996,17583.519702274945,0.0,553842.6038751773
